Team1Name,Team2Name,Map,Score,Winner,GameName,Format,Team1Bet,Team2Bet,DataSource,MatchID
ESC,Reason,Unavailable,Unavailable,Reason,CS: GO,Best of 1,59%,41%,CSGOL,1048
Na'Vi,mouz,Unavailable,Unavailable,mouz,CS: GO,Best of 1,77%,23%,CSGOL,1049
Na'Vi,Reason,Unavailable,Unavailable,Reason,CS: GO,Best of 1,67%,33%,CSGOL,1050
NiP,Titan,Unavailable,Unavailable,Titan,CS: GO,Best of 1,65%,35%,CSGOL,1051
LDLC,Berzerk,Unavailable,Unavailable,LDLC,CS: GO,Best of 1,83%,17%,CSGOL,1052
Na'Vi,Epsilon,Unavailable,Unavailable,Na'Vi,CS: GO,Best of 1,46%,54%,CSGOL,1053
Titan,Epsilon,Unavailable,Unavailable,Titan,CS: GO,Best of 1,58%,42%,CSGOL,1054
ESC,VP,Unavailable,Unavailable,VP,CS: GO,Best of 1,19%,81%,CSGOL,1055
IBP,Justus,Unavailable,Unavailable,IBP,CS: GO,Best of 1,87%,13%,CSGOL,1056
TMP,Reliable,Unavailable,Unavailable,TMP,CS: GO,Best of 1,49%,51%,CSGOL,1057
LDLC,NiP,Unavailable,Unavailable,NiP,CS: GO,Best of 3,33%,67%,CSGOL,1058
Na'Vi,NiP,Unavailable,Unavailable,Na'Vi,CS: GO,Best of 3,34%,66%,CSGOL,1059
Lunatik,IBP,Unavailable,Unavailable,IBP,CS: GO,Best of 1,12%,88%,CSGOL,1060
A51,coL,Unavailable,Unavailable,coL,CS: GO,Best of 1,21%,79%,CSGOL,1061
Reliable,NetCode,Unavailable,Unavailable,Reliable,CS: GO,Best of 1,43%,57%,CSGOL,1062
Lunatik,Justus,Unavailable,Unavailable,Lunatik,CS: GO,Best of 1,63%,37%,CSGOL,1063
VEXX,coL,Unavailable,Unavailable,coL,CS: GO,Best of 1,12%,88%,CSGOL,1064
NiP,Na'Vi,Unavailable,Unavailable,NiP,CS: GO,Best of 1,45%,55%,CSGOL,1065
Na'Vi,Titan,Unavailable,Unavailable,Titan,CS: GO,Best of 1,44%,56%,CSGOL,1066
ESG!,unu.AiN,Unavailable,Unavailable,ESG!,CS: GO,Best of 1,73%,27%,CSGOL,1067
Titan,ESC,Unavailable,Unavailable,Unavailable,CS: GO,Best of 1,88%,12%,CSGOL,1068
Publiclir,JSL,Unavailable,Unavailable,Publiclir,CS: GO,Best of 1,72%,28%,CSGOL,1069
Justus,GlobalG,Unavailable,Unavailable,Justus,CS: GO,Best of 1,75%,25%,CSGOL,1070
ExpertG,RCTIC,Unavailable,Unavailable,ExpertG,CS: GO,Best of 1,69%,31%,CSGOL,1071
GlobalG,A51,Unavailable,Unavailable,GlobalG,CS: GO,Best of 1,17%,83%,CSGOL,1072
USSR,OverGaming,Unavailable,Unavailable,OverGaming,CS: GO,Best of 1,45%,55%,CSGOL,1073
Nostalgie,Recursive,Unavailable,Unavailable,Nostalgie,CS: GO,Best of 1,89%,11%,CSGOL,1074
Fnatic,IBP,Unavailable,Unavailable,Unavailable,CS: GO,Best of 1,38%,62%,CSGOL,1075
Recursive,Penta,Unavailable,Unavailable,Recursive,CS: GO,Best of 1,25%,75%,CSGOL,1076
Titan,Dignitas,Unavailable,Unavailable,Dignitas,CS: GO,Best of 1,50%,50%,CSGOL,1077
Epsilon,Fnatic,Unavailable,Unavailable,Fnatic,CS: GO,Best of 1,45%,55%,CSGOL,1078
VP,mouz,Unavailable,Unavailable,mouz,CS: GO,Best of 1,79%,21%,CSGOL,1079
NiP,Fnatic,Unavailable,Unavailable,Fnatic,CS: GO,Best of 1,57%,43%,CSGOL,1080
Titan,VP,Unavailable,Unavailable,Unavailable,CS: GO,Best of 1,49%,51%,CSGOL,1081
Encore,ExpertG,Unavailable,Unavailable,Encore,CS: GO,Best of 3,76%,24%,CSGOL,1082
NiP,IBP,Unavailable,Unavailable,IBP,CS: GO,Best of 1,61%,39%,CSGOL,1083
Dignitas,VP,Unavailable,Unavailable,Dignitas,CS: GO,Best of 1,64%,36%,CSGOL,1084
Titan,ESG!,Unavailable,Unavailable,Titan,CS: GO,Best of 1,69%,31%,CSGOL,1085
Epsilon,IBP,Unavailable,Unavailable,Unavailable,CS: GO,Best of 1,32%,68%,CSGOL,1086
Titan,mouz,Unavailable,Unavailable,Titan,CS: GO,Best of 1,61%,39%,CSGOL,1087
LC,Epsilon,Unavailable,Unavailable,LC,CS: GO,Best of 1,45%,55%,CSGOL,1088
Fnatic,mouz,Unavailable,Unavailable,Fnatic,CS: GO,Best of 3,81%,19%,CSGOL,1089
VP,LC,Unavailable,Unavailable,VP,CS: GO,Best of 3,62%,38%,CSGOL,1090
Dignitas,NiP,Unavailable,Unavailable,Dignitas,CS: GO,Best of 3,61%,39%,CSGOL,1091
Titan,Fnatic,Unavailable,Unavailable,Titan,CS: GO,Best of 3,57%,43%,CSGOL,1092
VP,Dignitas,Unavailable,Unavailable,VP,CS: GO,Best of 3,24%,76%,CSGOL,1093
Titan,VP,Unavailable,Unavailable,VP,CS: GO,Best of 3,50%,50%,CSGOL,1094
Unnamed,dAT,Unavailable,Unavailable,Unavailable,CS: GO,Best of 3,18%,82%,CSGOL,1095
Ducks,ATN,Unavailable,Unavailable,ATN,CS: GO,Best of 1,41%,59%,CSGOL,1096
Exertus,SKDC,Unavailable,Unavailable,Exertus,CS: GO,Best of 1,78%,22%,CSGOL,1097
