Team1Name,Team2Name,Map,Score,Winner,GameName,Format,Team1Bet,Team2Bet,DataSource,MatchID
HellRaisers,Wolf,mirage,16:4 (11:4) (5:0),HellRaisers,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,17525
LDLC,London C,nuke,16:2 (13:2) (3:0),LDLC,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,17526
Natus Vincere,CPH Wolves,inferno,16:6 (12:3) (4:3),Natus Vincere,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,17527
CPH Wolves,London C,cache,16:5 (11:4) (5:1),CPH Wolves,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,17528
Virtus.pro,dAT,overpass,16:7 (9:6) (7:1),Virtus.pro,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,17529
fnatic,iBUYPOWER,cobblestone,16:7 (9:6) (7:1),fnatic,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,17530
iBUYPOWER,dAT,cobblestone,16:6 (12:3) (4:3),iBUYPOWER,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,17531
dignitas,Vox Eminor,dust2,16:9 (9:6) (7:3),dignitas,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,17532
Cloud9,Titan,dust2,22:18 (4:11) (11:4) (7:3),Cloud9,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,17533
Titan,Cloud9,dust2,2:4 (2:4) (0:0),Cloud9,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,17534
Cloud9,Titan,dust2,3:1 (3:1) (0:0),Cloud9,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,17535
Titan,Vox Eminor,nuke,16:1 (14:1) (2:0),Titan,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,17536
NiP,Epsilon,cobblestone,6:16 (6:9) (0:7),Epsilon,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,17537
NiP,HellRaisers,overpass,16:11 (10:5) (6:6),NiP,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,17538
LDLC,Natus Vincere,inferno,16:12 (8:7) (8:5),LDLC,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,17539
CPH Wolves,Natus Vincere,dust2,17:19 (5:10) (10:5) (2:4),Natus Vincere,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,17540
Natus Vincere,CPH Wolves,dust2,3:3 (3:3) (0:0),Tie,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,17541
Virtus.pro,fnatic,overpass,16:19 (10:5) (5:10) (1:4),fnatic,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,17542
fnatic,Virtus.pro,overpass,2:3 (2:3) (0:0),Virtus.pro,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,17543
Virtus.pro,iBUYPOWER,cache,16:2 (13:2) (3:0),Virtus.pro,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,17544
