Team1Name,Team2Name,Map,Score,Winner,GameName,Format,Team1Bet,Team2Bet,DataSource,MatchID
SK Gaming,Lions,nuke,14:16 (5:10) (9:6),Lions,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3632
Na`Vi,mTw,dust2,19:17 (6:9) (9:6) (4:2),Na`Vi,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3633
mTw,Na`Vi,dust2,3:3 (3:3) (0:0),Tie,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3634
Na`Vi,mTw,tuscan,22:19 (4:11) (11:4) (7:4),Na`Vi,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3635
mTw,Na`Vi,tuscan,0:4 (0:4) (0:0),Na`Vi,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3636
Na`Vi,mTw,tuscan,2:3 (2:3) (0:0),mTw,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3637
iDemise,Evil Geniuses,dust2,9:16 (2:13) (7:3),Evil Geniuses,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3638
mTw,BURNING!,nuke,16:2 (13:2) (3:0),mTw,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3639
mousesports,Lions,nuke,16:4 (12:3) (4:1),mousesports,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3640
Lions,mousesports,inferno,11:16 (9:6) (2:10),mousesports,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3641
Na`Vi,Evil Geniuses,tuscan,1:16 (1:14) (0:2),Evil Geniuses,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3642
Na`Vi,Evil Geniuses,train,16:2 (13:2) (3:0),Na`Vi,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3643
Na`Vi,Evil Geniuses,inferno,16:4 (12:3) (4:1),Na`Vi,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3644
Lions,Evil Geniuses,tuscan,16:14 (7:8) (9:6),Lions,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3645
Evil Geniuses,Lions,train,16:7 (10:5) (6:2),Evil Geniuses,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3646
Evil Geniuses,Lions,nuke,16:14 (10:5) (6:9),Evil Geniuses,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3647
mousesports,Na`Vi,dust2,15:19 (5:10) (10:5) (0:4),Na`Vi,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3648
Na`Vi,mousesports,dust2,3:1 (3:1) (0:0),Na`Vi,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3649
mousesports,Na`Vi,inferno,12:16 (8:7) (4:9),Na`Vi,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3650
SK Gaming,Underestimated,inferno,16:10 (10:5) (6:5),SK Gaming,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3651
Playzone.se,bet4gamers,inferno,16:7 (9:6) (7:1),Playzone.se,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3652
bet4gamers,Playzone.se,train,14:16 (7:8) (7:8),Playzone.se,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3653
Na`Vi,coketA,dust2,28:2 (15:0) (13:2),Na`Vi,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3654
dignitas,LDLC.com,dust2,12:18 (8:7) (4:11),LDLC.com,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3655
Na`Vi,LDLC.com,nuke,17:13 (12:3) (5:10),Na`Vi,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3656
dignitas,coketA,nuke,28:2 (14:1) (14:1),dignitas,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3657
Na`Vi,dignitas,inferno,16:2 (13:2) (3:0),Na`Vi,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3658
LDLC.com,coketA,inferno,28:2 (15:0) (13:2),LDLC.com,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3659
vitalsigns,vVv Gaming,dust2,6:16 (3:12) (3:4),vVv Gaming,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3660
vitalsigns,vVv Gaming,train,5:16 (5:10) (0:6),vVv Gaming,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3661
mousesports,Defs,dust2,28:2 (14:1) (14:1),mousesports,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3662
fnatic,duellum,dust2,23:7 (14:1) (9:6),fnatic,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3663
erandio,DarkPassage,dust2,2:28 (1:14) (1:14),DarkPassage,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3664
Antwerp Aces,prodigy-esc,dust2,25:5 (13:2) (12:3),Antwerp Aces,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3665
Defs,erandio,nuke,28:2 (14:1) (14:1),Defs,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3666
mousesports,DarkPassage,nuke,21:9 (11:4) (10:5),mousesports,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3667
duellum,prodigy-esc,nuke,3:27 (2:13) (1:14),prodigy-esc,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3668
fnatic,Antwerp Aces,nuke,21:9 (11:4) (10:5),fnatic,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3669
erandio,mousesports,inferno,4:26 (2:13) (2:13),mousesports,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3670
DarkPassage,Defs,inferno,20:10 (7:8) (13:2),DarkPassage,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3671
Antwerp Aces,duellum,inferno,25:5 (13:2) (12:3),Antwerp Aces,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3672
prodigy-esc,fnatic,inferno,5:25 (1:14) (4:11),fnatic,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3673
No team,No team,Unknown,0:0 (0:0) (0:0),Tie,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3674
k2,DELTA,dust2,7:23 (3:12) (4:11),DELTA,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3675
4FRAGS,Fx,dust2,5:25 (2:13) (3:12),Fx,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3676
bet4gamers,eLogic,dust2,21:9 (8:7) (13:2),bet4gamers,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3677
HEADSHOTBG,mythiX,dust2,17:13 (5:10) (12:3),HEADSHOTBG,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3678
k2,bet4gamers,nuke,0:30 (0:15) (0:15),bet4gamers,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3679
HEADSHOTBG,Fx,nuke,9:21 (5:10) (4:11),Fx,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3680
eLogic,DELTA,nuke,16:14 (10:5) (6:9),eLogic,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3681
4FRAGS,mythiX,nuke,11:19 (5:10) (6:9),mythiX,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3682
DELTA,bet4gamers,inferno,8:22 (4:11) (4:11),bet4gamers,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3683
mythiX,Fx,inferno,9:21 (7:8) (2:13),Fx,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3684
HEADSHOTBG,4FRAGS,inferno,14:16 (9:6) (5:10),4FRAGS,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3685
eLogic,k2,inferno,25:5 (13:2) (12:3),eLogic,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3686
aAa,RG,dust2,22:8 (9:6) (13:2),aAa,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3687
x-function,CNB,dust2,10:20 (7:8) (3:12),CNB,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3688
wCrea,adeclik,dust2,20:10 (8:7) (12:3),wCrea,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3689
UNIR,k1ck,dust2,5:25 (3:12) (2:13),k1ck,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3690
RG,CNB,nuke,6:24 (5:10) (1:14),CNB,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3691
k1ck,adeclik,nuke,29:1 (15:0) (14:1),k1ck,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3692
x-function,aAa,nuke,4:26 (2:13) (2:13),aAa,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3693
UNIR,wCrea,nuke,13:17 (5:10) (8:7),wCrea,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3694
UNIR,adeclik,inferno,18:12 (8:7) (10:5),UNIR,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3695
wCrea,k1ck,inferno,13:16 (8:7) (5:9),k1ck,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3696
CNB,aAa,inferno,22:8 (11:4) (11:4),CNB,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3697
x-function,RG,inferno,16:14 (8:7) (8:7),x-function,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3698
DarkPassage,k1ck,train,10:16 (5:10) (5:6),k1ck,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3699
fnatic,k1ck,dust2,16:9 (12:3) (4:6),fnatic,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3700
LDLC.com,Fx,dust2,5:16 (2:13) (3:3),Fx,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3701
bet4gamers,mythiX,train,16:2 (15:0) (1:2),bet4gamers,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3702
eLogic,Fx,train,3:16 (3:12) (0:4),Fx,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3703
fnatic,aAa,train,16:7 (11:4) (5:3),fnatic,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3704
wCrea,mousesports,train,11:16 (10:5) (1:11),mousesports,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3705
CNB,Antwerp Aces,train,16:11 (7:8) (9:3),CNB,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3706
mousesports,CNB,dust2,11:16 (7:8) (4:8),CNB,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3707
Na`Vi,bet4gamers,dust2,16:3 (14:1) (2:2),Na`Vi,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3708
Antwerp Aces,wCrea,dust2,2:16 (2:13) (0:3),wCrea,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3709
k1ck,eLogic,nuke,16:4 (12:3) (4:1),k1ck,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3710
mythiX,mousesports,nuke,14:16 (10:5) (4:11),mousesports,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3711
aAa,DarkPassage,dust2,16:12 (8:7) (8:5),aAa,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3712
wCrea,bet4gamers,nuke,16:6 (12:3) (4:3),wCrea,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3713
LDLC.com,aAa,nuke,4:16 (4:11) (0:5),aAa,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3714
Loaded,coL.us,tuscan,16:13 (5:10) (11:3),Loaded,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3715
Evil Geniuses,Loaded,nuke,16:1 (14:1) (2:0),Evil Geniuses,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3716
Loaded,Evil Geniuses,inferno,13:16 (11:4) (2:12),Evil Geniuses,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3717
Loaded,Evil Geniuses,dust2,16:11 (7:8) (9:3),Loaded,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3718
Loaded,Evil Geniuses,train,4:16 (2:13) (2:3),Evil Geniuses,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3719
Hausen,eXult,dust2,16:14 (8:7) (8:7),Hausen,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3720
Hausen,eXult,nuke,14:16 (9:6) (5:10),eXult,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3721
eXult,Hausen,tuscan,11:16 (8:7) (3:9),Hausen,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3722
mL Gaming,The Dons,dust2,16:13 (4:11) (12:2),mL Gaming,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3723
mL Gaming,The Dons,nuke,1:16 (1:14) (0:2),The Dons,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3724
The Dons,mL Gaming,tuscan,15:19 (4:11) (11:4) (0:4),mL Gaming,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3725
