Team1Name,Team2Name,Map,Score,Winner,GameName,Format,Team1Bet,Team2Bet,DataSource,MatchID
SK Gaming,Gravitas,nuke,16:7 (11:4) (5:3),SK Gaming,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11604
Evil Geniuses,fnatic,train,16:1 (14:1) (2:0),Evil Geniuses,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11605
Fx,Power Gaming,nuke,16:7 (11:4) (5:3),Fx,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11606
Gravitas,x3o,inferno,7:16 (3:12) (4:4),x3o,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11607
Power Gaming,fnatic,nuke,16:5 (11:4) (5:1),Power Gaming,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11608
mibr,SK Gaming,dust2,16:6 (11:4) (5:2),mibr,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11609
Evil Geniuses,Fx,train,16:12 (8:7) (8:5),Evil Geniuses,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11610
SK Gaming,Power Gaming,train,21:19 (9:6) (6:9) (6:4),SK Gaming,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11611
Power Gaming,SK Gaming,train,6:3 (6:3) (0:0),Power Gaming,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11612
mibr,Evil Geniuses,train,16:2 (13:2) (3:0),mibr,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11613
Fx,x3o,dust2,16:11 (8:7) (8:4),Fx,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11614
SK Gaming,Fx,train,16:2 (13:2) (3:0),SK Gaming,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11615
SK Gaming,Evil Geniuses,inferno,16:1 (14:1) (2:0),SK Gaming,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11616
mibr,SK Gaming,inferno,3:16 (3:12) (0:4),SK Gaming,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11617
mibr,SK Gaming,train,18:21 (7:8) (8:7) (3:6),SK Gaming,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11618
SK Gaming,mibr,train,4:5 (4:5) (0:0),mibr,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11619
SFTO,w4sp,nuke,16:5 (13:2) (3:3),SFTO,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11620
mibr,zEx,train,23:7 (12:3) (11:4),mibr,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11621
x3o,TRP,dust2,23:7 (12:3) (11:4),x3o,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11622
x3o,mibr,dust2,7:23 (1:14) (6:9),mibr,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11623
zEx,TRP,inferno,17:13 (10:5) (7:8),zEx,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11624
zEx,x3o,dust2,2:16 (2:13) (0:3),x3o,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11625
TRP,mibr,train,6:16 (4:11) (2:5),mibr,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11626
MoB,Gravitas,dust2,6:24 (2:13) (4:11),Gravitas,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11627
Gravitas,Evil Geniuses,train,19:11 (12:3) (7:8),Gravitas,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11628
MoB,Evil Geniuses,train,16:6 (12:3) (4:3),MoB,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11629
x3o,Gravitas,dust2,13:16 (4:11) (9:5),Gravitas,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11630
mibr,MoB,train,16:4 (15:0) (1:4),mibr,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11631
MoB,x3o,inferno,12:16 (5:10) (7:6),x3o,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11632
Gravitas,mibr,train,3:16 (3:12) (0:4),mibr,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11633
x3o,Gravitas,dust2,21:17 (10:5) (5:10) (6:2),x3o,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11634
Gravitas,x3o,dust2,5:3 (5:3) (0:0),Gravitas,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11635
x3o,mibr,inferno,10:16 (3:12) (7:4),mibr,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11636
Power Gaming,vio,dust2,16:7 (9:6) (7:1),Power Gaming,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11637
ex-MYM,mibr,dust2,5:16 (5:10) (0:6),mibr,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11638
mibr,PZ,train,16:14 (9:6) (7:8),mibr,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11639
ex-MYM,SK Gaming,train,5:16 (3:12) (2:4),SK Gaming,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11640
